coursework,"['0,1,0, {801}']"
creat,"['1,1,0, {79}']"
cs,"['0,1,1,{629}', '1,3,0, {48, 89, 127}']"
current,"['0,2,0, {109, 15}']"
danish,"['0,2,1,{353, 380}']"
data,"['0,1,0, {413}', '1,1,0, {110}']"
databas,"['1,1,0, {115}']"
date,"['1,2,0, {75, 71}']"
dealership,"['0,1,0, {146}']"
deep,"['0,1,0, {712}']"
degre,"['0,2,0, {19, 11}']"
depart,"['1,3,0, {32, 56, 6}']"
describ,"['0,1,0, {668}']"
descript,"['1,1,0, {95}']"
design,"['0,3,0, {394, 979, 940}']"
detail,"['0,1,0, {989}']"
detect,"['0,1,0, {703}']"
develop,"['0,7,1,{545, 227, 293, 455, 423, 876, 981}']"
diego,"['0,1,0, {824}']"
digit,"['0,1,1,{82}']"
disabl,"['0,1,0, {606}']"
discuss,"['0,2,1,{65, 43}']"
diseas,"['0,1,0, {471}']"
distinguish,"['0,1,0, {25}', '1,1,0, {135}']"
divers,"['0,1,0, {578}']"
do,"['0,2,0, {89, 682}']"
doctor,"['0,1,0, {592}']"
donald,"['0,1,0, {509}', '1,3,0, {10, 36, 60}']"
doubt,"['0,1,0, {775}']"
dtend,"['1,1,0, {73}']"
dtstamp,"['1,1,0, {77}']"
dtstart,"['1,1,0, {69}']"
dutt,"['0,2,2,{848, 827}']"
earli,"['0,1,0, {553}']"
ecpv4,"['1,1,0, {17}']"
edg,"['0,1,0, {702}']"
edu,"['1,3,0, {129, 50, 91}']"
edward,"['0,1,0, {303}']"
elect,"['0,2,1,{372, 350}']"
electr,"['0,1,0, {852}']"
en,"['1,1,0, {24}']"
encompass,"['0,1,0, {977}']"
end,"['1,2,0, {138, 140}']"
energi,"['0,1,0, {960}']"
engag,"['0,1,0, {548}']"
engin,"['0,4,0, {853, 557, 583, 567}']"
english,"['0,1,0, {791}']"
equip,"['0,1,0, {943}']"
esport,"['0,2,0, {314, 300}']"
even,"['0,1,0, {966}']"
event,"['0,3,0, {307, 21, 287}', '1,2,0, {130, 54}']"
exampl,"['0,1,0, {695}']"
explor,"['0,1,0, {1}']"
expos,"['0,1,1,{263}']"
face,"['0,1,0, {704}']"
factori,"['0,2,1,{882, 835}']"
faculti,"['0,2,0, {4, 36}']"
fadi,"['0,1,0, {857}']"
famili,"['0,1,0, {207}']"
featur,"['0,2,0, {648, 61}']"
feedback,"['0,1,0, {1011}']"
fellowship,"['0,3,1,{538, 500, 525}']"
field,"['0,1,0, {391}']"
financ,"['0,1,0, {152}']"
find,"['0,1,0, {142}']"
finish,"['0,1,0, {799}']"
first,"['0,2,0, {338, 285}']"
for,"['0,7,2,{832, 482, 617, 652, 336, 400, 151}', '1,1,0, {55}']"
foreign,"['0,1,0, {375}']"
format,"['0,1,0, {729}']"
found,"['0,2,0, {995, 124}']"
foundat,"['0,4,1,{497, 870, 921, 521}']"
four,"['0,1,0, {106}']"
freshman,"['0,1,0, {786}']"
from,"['0,10,1,{736, 866, 811, 782, 594, 659, 818, 54, 184, 447}']"
full,"['0,1,0, {721}']"
fun,"['0,1,0, {277}']"
fund,"['0,1,0, {922}']"
gener,"['0,1,0, {879}']"
geograph,"['0,2,0, {596, 406}']"
geometr,"['0,1,0, {403}']"
german,"['0,1,0, {919}']"
give,"['0,1,0, {767}']"
global,"['0,1,0, {547}']"
good,"['0,1,0, {225}']"
goodrich,"['0,3,1,{385, 362, 349}']"
googl,"['0,2,1,{170, 259}']"
got,"['0,1,0, {330}']"
grad,"['0,1,1,{78}']"
graduat,"['0,11,1,{34, 10, 523, 108, 174, 814, 16, 752, 498, 244, 536}']"
grant,"['0,5,2,{865, 421, 479, 446, 831}']"
great,"['0,1,0, {318}']"
gregorian,"['1,1,0, {26}']"
grfp,"['0,2,0, {540, 573}']"
group,"['0,1,0, {656}']"
guangzhou,"['0,1,1,{737}']"
ha,"['0,4,0, {441, 370, 541, 807}']"
had,"['0,2,0, {180, 276}']"
hardwar,"['0,1,0, {978}']"
have,"['0,3,0, {859, 517, 102}']"
he,"['0,7,0, {192, 201, 233, 396, 211, 243, 472}']"
health,"['0,3,0, {954, 452, 469}']"
held,"['0,1,0, {308}']"
help,"['0,3,1,{776, 542, 79}']"
her,"['0,1,0, {66}']"
here,"['0,1,0, {996}']"
hi,"['0,3,0, {800, 220, 206}']"
